date,open,high,low,close,volume,percentSP500,percentNASDAQ,percentVIX,percentTNX,percentFTSE,target
2/8/1991,356.52,359.35,356.02,359.35,187830000,0.79,-0.96,-0.93,-0.64,0.07,1
2/11/1991,359.36,368.58,359.32,368.58,265350000,2.57,0.41,-3.51,0.13,1.51,-1
2/12/1991,368.58,370.54,365.5,365.5,256160000,-0.84,1.67,-1.33,0,-0.64,1
2/13/1991,365.5,369.49,364.64,369.02,209960000,0.96,-0.02,-6.29,0,0.15,-1
2/14/1991,369.02,370.26,362.77,364.22,230750000,-1.3,0.9,2.97,0.26,1.17,1
2/15/1991,364.23,369.49,364.23,369.06,228480000,1.33,-0.83,-8.89,-0.26,0.11,1
2/19/1991,369.06,370.11,367.05,369.39,189900000,0.09,0.99,1.38,0.26,-0.25,-1
2/20/1991,369.37,369.37,364.38,365.14,185680000,-1.15,0.36,12.2,0.51,-0.67,-1
2/21/1991,365.14,366.79,364.5,364.97,180770000,-0.05,-0.95,-6.65,0.51,0.68,1
2/22/1991,364.97,370.96,364.23,365.65,218760000,0.19,0.09,1.11,0.38,0.08,1
2/25/1991,365.65,370.19,365.16,367.26,193820000,0.44,0.58,8.81,0,0.92,-1
2/26/1991,367.26,367.26,362.19,362.81,164170000,-1.21,0.47,-10.85,0.63,-0.57,1
2/27/1991,362.81,368.38,362.81,367.74,211410000,1.36,-0.75,4.32,0.25,1.11,-1
2/28/1991,367.73,369.91,365.95,367.07,223010000,-0.18,0.69,-0.14,0.5,1.4,1
3/1/1991,367.07,370.47,363.73,370.47,221510000,0.93,0.51,0,1.25,0.25,-1
3/4/1991,370.47,371.99,369.07,369.33,199830000,-0.31,0.79,-1.74,0,-0.17,1
3/5/1991,369.33,377.89,369.33,376.72,253700000,2,0.96,-1.97,-0.49,1.56,-1
3/6/1991,376.72,379.66,375.02,376.17,262290000,-0.15,2.6,0.49,0.37,1.64,-1
3/7/1991,376.16,377.49,375.58,375.91,197060000,-0.07,0.15,2.43,-0.49,-0.9,-1
3/8/1991,375.91,378.69,374.43,374.95,206850000,-0.26,0.41,-1.14,0.74,0.71,-1
3/11/1991,374.94,375.1,372.52,372.96,161600000,-0.53,-0.13,0.34,-0.86,0.17,-1
3/12/1991,372.96,374.35,369.55,370.03,176440000,-0.79,-1.68,-9.87,0.37,-0.17,1
3/13/1991,370.03,374.65,370.03,374.57,176000000,1.23,-1.23,-14.51,-0.87,-0.27,-1
3/14/1991,374.59,378.28,371.76,373.5,232070000,-0.29,1.47,-7.15,0,2.14,1
3/15/1991,373.5,374.58,370.21,373.59,237650000,0.02,-0.08,-0.27,1,-0.26,-1
3/18/1991,373.59,374.09,369.46,372.11,163100000,-0.4,-0.32,5.97,0.62,-0.14,-1
3/19/1991,372.11,372.11,366.54,366.59,177070000,-1.48,0,2.03,1.23,-1.27,1
3/20/1991,366.59,368.85,365.8,367.92,196810000,0.36,-0.74,-0.43,-0.61,-0.72,-1
3/21/1991,367.94,371.01,366.51,366.58,199830000,-0.36,0.71,5.11,-0.49,1.38,1
3/22/1991,366.58,368.22,365.58,367.48,160890000,0.25,-0.32,-2.19,-0.37,-1.39,1
3/25/1991,367.48,371.31,367.46,369.83,153920000,0.64,-0.1,1.64,0,-0.35,1
3/26/1991,369.83,376.3,369.37,376.3,198720000,1.75,0.94,-2.68,0,0.21,-1
3/27/1991,376.28,378.48,374.73,375.35,201830000,-0.25,2.15,1.47,-0.62,1.13,-1
3/28/1991,375.35,376.6,374.4,375.22,150750000,-0.03,0.79,1.99,-0.37,-0.33,-1
4/1/1991,375.22,375.22,370.27,371.3,144010000,-1.04,-0.01,3.2,0.25,0,1
4/2/1991,371.3,379.5,371.3,379.5,189530000,2.21,-0.3,-0.11,-0.5,1.29,-1
4/3/1991,379.5,381.56,378.49,378.94,213720000,-0.15,2.15,1.21,0.25,1.24,1
4/4/1991,378.94,381.88,377.05,379.77,198120000,0.22,0.78,2.27,-0.62,0.21,-1
4/5/1991,379.78,381.12,374.15,375.36,187410000,-1.16,0.51,-2.11,-0.12,0.82,1
4/8/1991,375.35,378.76,374.69,378.66,138580000,0.88,-0.36,-1.25,-0.13,-0.61,-1
4/9/1991,378.65,379.02,373.11,373.56,169940000,-1.35,-0.03,15.57,0.63,-0.11,-1
4/10/1991,373.57,374.83,371.21,373.15,167940000,-0.11,-0.64,-1.94,0.87,-0.33,1
4/11/1991,373.15,379.53,373.15,377.63,196570000,1.2,-0.35,-12.62,-0.12,0.51,1
4/12/1991,377.65,381.07,376.89,380.4,198610000,0.73,1.74,7.02,-1.36,-0.22,1
4/15/1991,380.4,382.32,378.78,381.19,161800000,0.21,0.46,-10.57,-0.38,0.66,1
4/16/1991,381.19,387.62,379.64,387.62,214480000,1.69,-0.16,-4.12,0.25,-0.92,1
4/17/1991,387.62,391.26,387.3,390.45,246930000,0.73,1.18,-2.21,-0.25,1.01,-1
4/18/1991,390.45,390.97,388.13,388.46,217410000,-0.51,0.9,5.11,0.88,-0.26,-1
4/19/1991,388.46,388.46,383.9,384.2,195520000,-1.1,-0.92,-3.57,1,-0.72,-1
4/22/1991,384.19,384.19,380.16,380.95,164410000,-0.85,-1.07,7.02,0.62,-1.16,1
4/23/1991,380.95,383.55,379.67,381.76,167840000,0.21,-1.36,1.43,-0.37,0.52,1
4/24/1991,381.76,383.02,379.99,382.76,166800000,0.26,0.34,-1.76,-0.74,-0.61,-1
4/25/1991,382.89,382.89,378.43,379.25,166940000,-0.92,0.48,2.57,0.12,-0.26,-1
4/26/1991,379.25,380.11,376.77,379.02,154550000,-0.06,-0.49,0.7,-0.12,-0.44,-1
4/29/1991,379.01,380.96,373.66,373.66,149860000,-1.41,-0.28,5.79,0.12,1.09,1
4/30/1991,373.66,377.86,373.01,375.34,206230000,0.45,-1.39,-0.16,-0.62,-0.48,1
5/1/1991,375.35,380.46,375.27,380.29,181900000,1.32,-0.62,-2.58,-0.12,0.89,1
5/2/1991,380.29,382.14,379.82,380.52,187090000,0.06,0.65,-1.41,-0.5,0.89,1
5/3/1991,380.52,381,378.82,380.8,158150000,0.07,0.67,-1.6,0.88,-0.32,-1
5/6/1991,380.78,380.78,377.86,380.08,129110000,-0.19,0.2,3.94,0.12,0,-1
